name,number_of_employees,Country,Zip_code,City,Address,Lat,Long,City_count
Exalead,150,FRA,75008,Paris,10 place de la madeleine,48.86931,2.324782,6.0
AdoTube,160,USA,10010,New York,915 Broadway,40.752672,-73.97593,30.0
Evernote,280,USA,94063,Redwood City,305 Walnut St,37.386774,-121.987661,7.0
Intuit,8000,USA,94043,Mountain View,2632 Marine Way,37.428373,-122.097604,16.0
Flurry,150,USA,94107,San Francisco,360 3rd Street,37.783046,-122.394067,50.0
Boonty,150,USA,10013,New York,54 Franklin Street,40.717248,-74.002662,30.0
99designs,100,USA,94111,San Francisco,447 Battery St.,37.7955307,-122.4005983,50.0
Elance,100,USA,94043,Mountain View,441 Logue Avenue,37.398022,-122.049143,16.0
LiveRail,110,USA,94105,San Francisco,575 Market St.,37.787183,-122.397759,50.0
OpenDNS,200,USA,94107,San Francisco,145 Bluxome,37.789268,-122.395184,50.0
Clarizen,110,USA,94403,San Mateo,"2988 Campus Drive,",37.536044,-122.328401,11.0
Next New Networks,121,USA,10010,New York,22 W 21st St,40.743808,-73.983626,30.0
InMage Systems,150,USA,95112,San Jose,100 Century Center Court,37.381034,-121.971487,16.0
Magento,275,USA,,Los Angeles,,34.052187,-118.243425,5.0
7digital,120,GBR,EC2A 2BB,London,69 Wilson Sreet,51.5254,-0.083726,8.0
Wikimedia Foundation,143,USA,94105,San Francisco,149 New Montgomery St.,37.76785,-122.392839,50.0
Clearwell Systems,210,USA,94043,Mountain View,441 Logue Ave.,37.398022,-122.049143,16.0
Red Bend Software,100,USA,02451,Waltham,"400-1 Totten Pond Road, Suite 130",42.389795,-71.239286,5.0
Marketo,260,USA,94404,San Mateo,901 Mariners Island Blvd,37.5583,-122.301385,11.0
Bonobos,150,USA,10011,New York,45 West 25th Street,40.7384997,-73.9954585,30.0
Edmodo,100,USA,94401,San Mateo,"60 E. Third Ave., #390",41.857915,-88.321171,11.0
Cellfish,220,USA,10016,New York,215 Lexington Avenue,40.761855,-73.983754,30.0
Huddle,200,GBR,EC1Y 2BP,London,"1st Floor, Transworld House,",51.4999065,-0.0814873,8.0
RichRelevance,250,USA,94107,San Francisco,633 Folsom St.,37.7938969,-122.4000965,50.0
PixelCrayons,200,USA,10003,New York,228 Park Ave S # 25950,28.682042,77.087502,30.0
SquareTrade,190,USA,94105,San Francisco,575 Market Street,37.789551,-122.40036,50.0
Mojiva,105,USA,10013,New York,136 Baxter St,40.7185614,-73.998662,30.0
GitHub,106,USA,94107,San Francisco,275 Brannan St.,37.775196,-122.419204,50.0
Daptiv,150,USA,98104,Seattle,1008 Western Avenue,47.604279,-122.337437,8.0
Modern Feed,123,USA,90038,Los Angeles,818 N. La Brea Ave.,34.085749,-118.343791,5.0
Tealeaf,100,USA,94105,San Francisco,45 Fremont St.,37.791242,-122.397133,50.0
